Date,Company,Position,Location,Apply Here,Posting Time,Seniority Level
2023-Dec-21,Brillio,Brillio - Full Stack Developer/Lead - Java/Spring Boot ,No Info,https://hirist.com/j/brillio-full-stack-developerlead-javaspring-boot-5-8-yrs-1265512.html?ref=kp_br&jobpos=52&jobversion=2,No Info,No Info
2023-Dec-21,CarDekho,CarDekho - Engineering Head - Node.js/React.js ,No Info,https://hirist.com/j/cardekho-engineering-head-nodejsreactjs-8-15-yrs-1260997.html?ref=kp_br&jobpos=53&jobversion=2,No Info,No Info
2023-Dec-21,CarDekho,CarDekho - Head of Engineering - FinTech Domain ,No Info,https://hirist.com/j/cardekho-head-of-engineering-fintech-domain-9-15-yrs-1260999.html?ref=kp_br&jobpos=54&jobversion=2,No Info,No Info
2023-Dec-21,Senior Full Stack Developer,Senior Full Stack Developer - System Design & Architecture ,No Info,https://hirist.com/j/senior-full-stack-developer-system-design-architecture-3-7-yrs-1263584.html?ref=kp_br&jobpos=55&jobversion=2,No Info,No Info
2023-Dec-21,Leverage Edu,Leverage Edu - Senior Software Engineer - Full Stack Development ,No Info,https://hirist.com/j/leverage-edu-senior-software-engineer-full-stack-development-3-6-yrs-1263383.html?ref=kp_br&jobpos=56&jobversion=2,No Info,No Info
2023-Dec-21,React.js Developer ,React.js Developer  - Javascript ,No Info,https://hirist.com/j/reactjs-developer-javascript-7-10-yrs-1262041.html?ref=kp_br&jobpos=57&jobversion=2,No Info,No Info
2023-Dec-21,Full Stack Developer,Full Stack Developer - Java ,No Info,https://hirist.com/j/full-stack-developer-java-6-12-yrs-1262049.html?ref=kp_br&jobpos=58&jobversion=2,No Info,No Info
2023-Dec-21,Prodapt,Prodapt - Senior Technical Lead - Java/Microservices Architecture ,No Info,https://hirist.com/j/prodapt-senior-technical-lead-javamicroservices-architecture-9-15-yrs-1262072.html?ref=kp_br&jobpos=59&jobversion=2,No Info,No Info
2023-Dec-21,Senior Developer,Senior Developer - Java/Spring Boot ,No Info,https://hirist.com/j/senior-developer-javaspring-boot-7-9-yrs-1262117.html?ref=kp_br&jobpos=60&jobversion=2,No Info,No Info
2023-Dec-21,Senior UI Developer,Senior UI Developer - React.js/Vue.js/AngularJS ,No Info,https://hirist.com/j/senior-ui-developer-reactjsvuejsangularjs-5-7-yrs-1262147.html?ref=kp_br&jobpos=61&jobversion=2,No Info,No Info
2023-Dec-21,Java Full Stack Developer,Java Full Stack Developer - Spring/Hibernate ,No Info,https://hirist.com/j/java-full-stack-developer-springhibernate-5-15-yrs-1259109.html?ref=kp_br&jobpos=62&jobversion=2,No Info,No Info
2023-Dec-21,Pristyn Care,Pristyn Care - Angular Developer - React.js/RDBMS ,No Info,https://hirist.com/j/pristyn-care-angular-developer-reactjsrdbms-1-3-yrs-1258902.html?ref=kp_br&jobpos=63&jobversion=2,No Info,No Info
2023-Dec-21,UI Developer,UI Developer - Web Applications ,No Info,https://hirist.com/j/ui-developer-web-applications-2-8-yrs-1261377.html?ref=kp_br&jobpos=64&jobversion=2,No Info,No Info
2023-Dec-21,HealthifyMe,HealthifyMe - Frontend Developer - React.js/Javascript ,No Info,https://hirist.com/j/healthifyme-frontend-developer-reactjsjavascript-3-6-yrs-1260994.html?ref=kp_br&jobpos=65&jobversion=2,No Info,No Info
2023-Dec-21,Pristyn Care,Pristyn Care - Software Engineer - AngularJS/React.js/RDBMS ,No Info,https://hirist.com/j/pristyn-care-software-engineer-angularjsreactjsrdbms-1-3-yrs-1257447.html?ref=kp_br&jobpos=66&jobversion=2,No Info,No Info
2023-Dec-21,Robosoft Technologies,Robosoft Technologies - React.js Lead/Architect - Frontend Architecture ,No Info,https://hirist.com/j/robosoft-technologies-reactjs-leadarchitect-frontend-architecture-6-15-yrs-1260320.html?ref=kp_br&jobpos=67&jobversion=2,No Info,No Info
2023-Dec-21,Frontend Developer,Frontend Developer - React.js/Javascript ,No Info,https://hirist.com/j/frontend-developer-reactjsjavascript-5-9-yrs-1260286.html?ref=kp_br&jobpos=68&jobversion=2,No Info,No Info
2023-Dec-21,Jio,Jio - Senior Software Engineer - Python/MongoDB ,No Info,https://hirist.com/j/jio-senior-software-engineer-pythonmongodb-3-9-yrs-1259627.html?ref=kp_br&jobpos=69&jobversion=2,No Info,No Info
2023-Dec-21,Capgemini,Capgemini - Java Full Stack Developer - AngularJS/React.js ,No Info,https://hirist.com/j/capgemini-java-full-stack-developer-angularjsreactjs-6-12-yrs-1259828.html?ref=kp_br&jobpos=70&jobversion=2,No Info,No Info
